Date,Open,High,Low,Close,Adj Close,Volume
2023-03-15,294.709991,299.269989,293.239990,298.929993,298.467926,83631500
2023-03-16,298.000000,307.179993,297.190002,306.809998,306.335754,98198100
2023-03-17,306.720001,309.149994,303.369995,305.359985,304.887970,89923700
2023-03-20,304.260010,306.299988,302.010010,305.970001,305.970001,56359500
2023-03-21,307.940002,310.799988,306.399994,310.339996,310.339996,49757000
2023-03-22,310.269989,315.250000,305.950012,306.119995,306.119995,75791900
2023-03-23,309.920013,314.149994,307.010010,309.750000,309.750000,74576000
2023-03-24,309.320007,310.989990,306.950012,310.890015,310.890015,57195200
2023-03-27,311.600006,312.700012,307.890015,308.760010,308.760010,50287400
2023-03-28,308.170013,308.200012,304.769989,307.119995,307.119995,48585900
2023-03-29,310.880005,313.350006,310.049988,312.720001,312.720001,53274300
2023-03-30,315.239990,316.320007,312.809998,315.679993,315.679993,58354800
2023-03-31,315.910004,321.170013,315.600006,320.929993,320.929993,62041800
2023-04-03,318.769989,320.420013,317.420013,320.149994,320.149994,47126800
2023-04-04,320.600006,321.630005,317.829987,319.070007,319.070007,45875400
2023-04-05,318.100006,319.059998,314.070007,315.920013,315.920013,62795700
2023-04-06,314.239990,318.549988,312.820007,318.049988,318.049988,46916500
